title,price,mileage,location
2019 Ford Fiesta SE,"$5,999","89,412 mi.","Fredericksburg, VA (1,473 mi.)"
2013 Ford Fiesta S,"$9,875","59,253 mi.","Kingsville, MD (1,514 mi.)"
2018 Ford Fiesta SE,"$6,995","74,300 mi.","Portsmouth, VA (1,559 mi.)"
2019 Ford Fiesta SE,"$6,495","117,589 mi.","Orange Park, FL (1,467 mi.)"
2017 Ford Fiesta ST,"$12,950","64,839 mi.","Phoenix, AZ (581 mi.)"
2015 Ford Fiesta SE,"$6,500","125,874 mi.","Troy, MO (751 mi.)"
2019 Ford Fiesta SE,"$8,995","54,445 mi.","Elgin, IL (885 mi.)"
2016 Ford Fiesta SE,"$5,995","97,766 mi.","Lakeside, CA (818 mi.)"
2016 Ford Fiesta SE,"$6,995","92,874 mi.","Portland, OR (978 mi.)"
2019 Ford Fiesta SE,"$6,999","107,399 mi.","West Chester, OH (1,095 mi.)"
2019 Ford Fiesta SE,"$8,999","88,471 mi.","O'Fallon, MO (765 mi.)"
2018 Ford Fiesta SE,"$6,350","104,240 mi.","Spotsylvania Courthouse, VA (1,474 mi.)"
2015 Ford Fiesta SE,"$5,650","114,395 mi.","HOUSTON, TX (877 mi.)"
2015 Ford Fiesta SE,"$5,800","126,092 mi.","Marion, NC (1,281 mi.)"
2014 Ford Fiesta SE,"$5,552","146,564 mi.","Conway, SC (1,489 mi.)"
2017 Ford Fiesta Titanium,"$7,900","94,287 mi.","Fairfield, OH (1,086 mi.)"
2017 Ford Fiesta SE,"$9,000","70,502 mi.","Shrewsbury, MA (1,731 mi.)"
2019 Ford Fiesta S,"$8,899","41,848 mi.","Roseville, CA (876 mi.)"
2019 Ford Fiesta SE,"$5,499","113,323 mi.","King George, VA (1,482 mi.)"
2019 Ford Fiesta ST,"$8,388","135,800 mi.","Yakima, WA (912 mi.)"
2015 Ford Fiesta SE,"$5,990","104,991 mi.","Conway, SC (1,488 mi.)"
2019 Ford Fiesta SE,"$12,995","76,440 mi.","Greensburg, IN (1,037 mi.)"
2011 Ford Fiesta SES,"$5,545","153,974 mi.","Emmaus, PA (1,551 mi.)"
2016 Ford Fiesta SE,"$3,995","133,000 mi.","Salt Lake City, UT (371 mi.)"
2015 Ford Fiesta SE,"$4,777","160,568 mi.","Stafford, VA (1,474 mi.)"
2019 Ford Fiesta SE,"$8,795","81,662 mi.","Boise, ID (643 mi.)"
2014 Ford Fiesta SE,"$5,999","112,614 mi.","Woodland, CA (902 mi.)"
2017 Ford Fiesta SE,"$6,999","103,213 mi.","Kingsport, TN (1,235 mi.)"
2019 Ford Fiesta SE,"$7,290","97,646 mi.","Lexington, SC (1,368 mi.)"
2013 Ford Fiesta SE 4dr Sedan,"$7,999","60,000 mi.","Pittsburgh, PA (1,312 mi.)"
2015 Ford Fiesta SE,"$6,777","82,553 mi.","Colorado Springs, CO (66 mi.)"
2015 Ford Fiesta SE,"$5,999","104,612 mi.","Southfield, MI (1,141 mi.)"
2019 Ford Fiesta ST Line,"$10,977","71,456 mi.","Triangle, VA (1,477 mi.)"
2015 Ford Fiesta SE,"$8,795","76,516 mi.","Kingston, NY (1,615 mi.)"
2015 Ford Fiesta S,"$4,995","116,583 mi.","Bradley, IL (904 mi.)"
2019 Ford Fiesta SE,"$9,999","50,625 mi.","West Chicago, IL (916 mi.)"
2019 Ford Fiesta SE,"$8,499","62,512 mi.","Montclair, CA (805 mi.)"
2014 Ford Fiesta Titanium,"$8,649","85,418 mi.","Thousand Oaks, CA (860 mi.)"
2018 Ford Fiesta SE,"$6,942","94,789 mi.","Chicago, IL (913 mi.)"
2013 Ford Fiesta Titanium,"$7,995","87,745 mi.","Waterloo, IA (680 mi.)"
2016 Ford Fiesta SE,"$2,000","172,233 mi.","Fort Lauderdale, FL (1,712 mi.)"
2018 Ford Fiesta SE Sedan,"$6,988","101,000 mi.","Glendale, AZ (586 mi.)"
2018 Ford Fiesta ST,"$9,495","133,242 mi.","Stafford, VA (1,476 mi.)"
2018 Ford Fiesta SE,"$7,485","98,985 mi.","Belleville, IL (807 mi.)"
2014 Ford Fiesta SE,"$8,993","76,372 mi.","Cincinnati, OH (1,090 mi.)"
2013 Ford Fiesta SE,"$4,490","107,000 mi.","Chesapeake, VA (1,564 mi.)"
